"member_number","itemDescription","purchase_year","item_price"
4313,newspapers,2014,5
1618,napkins,2014,12
3834,chocolate marshmallow,2014,4
4493,margarine,2014,3
2843,rolls buns,2014,4
2107,canned beer,2014,1
4157,frozen meals,2014,12
2714,yogurt,2015,2
2769,sparkling wine,2015,15
4166,bottled water,2015,11
3614,citrus fruit,2015,13
4361,hamburger meat,2015,9
1922,packaged fruit vegetables,2015,9
4728,other vegetables,2015,11
3646,soda,2015,2
1155,whole milk,2015,12
2119,herbs,2015,3
1602,citrus fruit,2015,13
1074,misc. beverages,2015,10
2256,female sanitary products,2015,1
2029,cake bar,2014,4
1122,dishes,2014,14
2993,shopping bags,2014,2
4938,mayonnaise,2014,5
2753,butter,2014,8
3450,soda,2014,2
4745,pastry,2014,15
2520,other vegetables,2014,11
1260,curd,2014,2
4121,other vegetables,2014,11
3145,candy,2014,10
3479,pastry,2014,15
1166,brown bread,2014,2
3021,onions,2014,3
2489,rolls buns,2014,4
3343,rolls buns,2014,4
3028,butter,2014,8
4866,soda,2014,2
4943,other vegetables,2014,11
1636,liquor (appetizer),2014,7
3593,rolls buns,2014,4
1383,whipped sour cream,2014,6
2545,whole milk,2014,12
4719,coffee,2014,8
2065,pastry,2014,15
2941,beverages,2014,4
4019,bottled water,2014,11
1407,domestic eggs,2014,8
2960,canned beer,2014,1
1343,other vegetables,2014,11
4715,softener,2014,10
3174,butter milk,2014,12
1623,rolls buns,2014,4
2506,chocolate,2014,13
4799,frozen fish,2014,14
2360,napkins,2014,12
4822,coffee,2014,8
1554,curd,2014,2
1867,frozen vegetables,2014,12
2148,domestic eggs,2014,8
3863,whipped sour cream,2014,6
1010,specialty bar,2014,9
2768,baking powder,2014,15
2218,pot plants,2014,1
3785,frozen fish,2014,14
4823,frozen meals,2014,12
1475,kitchen towels,2014,9
1052,grapes,2014,13
2565,jam,2014,10
4259,yogurt,2014,2
1061,hard cheese,2014,3
4001,soda,2014,2
3458,mustard,2014,10
2178,male cosmetics,2014,5
1995,yogurt,2014,2
2161,margarine,2014,3
3349,herbs,2014,3
3742,shopping bags,2014,2
1244,soda,2014,2
3609,rolls buns,2014,4
2375,dog food,2014,1
2974,frozen vegetables,2014,12
3030,whole milk,2014,12
3737,other vegetables,2014,11
3619,dessert,2014,6
3705,herbs,2014,3
3974,bottled water,2014,11
1798,hamburger meat,2014,9
3272,canned beer,2014,1
4272,coffee,2015,8
1120,pastry,2015,15
2676,rolls buns,2015,4
1697,misc. beverages,2015,10
2507,root vegetables,2015,11
4620,sausage,2015,10
3365,canned beer,2015,1
2978,ham,2015,6
2910,turkey,2015,2
1061,whole milk,2015,12
3276,whole milk,2015,12
