"member_number","createDate","itemDescription","purchase_year","purchase_month","purchase_day","purchase_dow"
4313,"2014-07-17",newspapers,2014,7,17,5
1618,"2014-10-30",napkins,2014,10,30,5
3834,"2014-03-21",chocolate marshmallow,2014,3,21,6
4493,"2014-11-29",margarine,2014,11,29,7
2843,"2014-06-06",rolls buns,2014,6,6,6
1754,"2014-04-20",cream cheese ,2014,4,20,1
2107,"2014-10-30",canned beer,2014,10,30,5
4157,"2014-04-01",frozen meals,2014,4,1,3
2714,"2015-03-14",yogurt,2015,3,14,7
2769,"2015-07-21",sparkling wine,2015,7,21,3
4166,"2015-04-30",bottled water,2015,4,30,5
3614,"2015-03-02",citrus fruit,2015,3,2,2
4361,"2015-09-25",hamburger meat,2015,9,25,6
1922,"2015-09-22",packaged fruit vegetables,2015,9,22,3
4728,"2015-09-26",other vegetables,2015,9,26,7
3646,"2015-08-08",soda,2015,8,8,7
1155,"2015-08-10",whole milk,2015,8,10,2
2119,"2015-01-16",herbs,2015,1,16,6
1602,"2015-08-29",citrus fruit,2015,8,29,7
1074,"2015-06-24",misc. beverages,2015,6,24,4
2256,"2015-04-11",female sanitary products,2015,4,11,7
2029,"2014-07-15",cake bar,2014,7,15,3
1122,"2014-09-25",dishes,2014,9,25,5
2993,"2014-06-24",shopping bags,2014,6,24,3
4938,"2014-10-13",mayonnaise,2014,10,13,2
2753,"2014-07-07",butter,2014,7,7,2
3450,"2014-03-04",soda,2014,3,4,3
4745,"2014-08-14",pastry,2014,8,14,5
2520,"2014-12-18",other vegetables,2014,12,18,5
1260,"2014-07-09",curd,2014,7,9,4
4121,"2014-04-21",other vegetables,2014,4,21,2
3145,"2014-08-16",candy,2014,8,16,7
3479,"2014-05-10",pastry,2014,5,10,7
1166,"2014-02-17",brown bread,2014,2,17,2
3021,"2014-06-22",onions,2014,6,22,1
2489,"2014-02-06",rolls buns,2014,2,6,5
3343,"2014-06-16",rolls buns,2014,6,16,2
3028,"2014-01-04",butter,2014,1,4,7
4866,"2014-06-29",soda,2014,6,29,1
4943,"2014-05-01",other vegetables,2014,5,1,5
1636,"2014-08-08",liquor (appetizer),2014,8,8,6
3593,"2014-09-21",rolls buns,2014,9,21,1
2835,"2014-07-23",cream cheese ,2014,7,23,4
1383,"2014-03-24",whipped sour cream,2014,3,24,2
2545,"2014-05-26",whole milk,2014,5,26,2
4719,"2014-09-28",coffee,2014,9,28,1
2065,"2014-07-20",pastry,2014,7,20,1
2941,"2014-06-13",beverages,2014,6,13,6
4430,"2014-05-21",cream cheese ,2014,5,21,4
4019,"2014-05-18",bottled water,2014,5,18,1
1407,"2014-09-10",domestic eggs,2014,9,10,4
2960,"2014-09-03",canned beer,2014,9,3,4
1343,"2014-02-07",other vegetables,2014,2,7,6
4715,"2014-01-31",softener,2014,1,31,6
3174,"2014-11-10",butter milk,2014,11,10,2
1623,"2014-12-07",rolls buns,2014,12,7,1
2506,"2014-02-27",chocolate,2014,2,27,5
4799,"2014-04-01",frozen fish,2014,4,1,3
2360,"2014-07-09",napkins,2014,7,9,4
4822,"2014-08-21",coffee,2014,8,21,5
1554,"2014-02-04",curd,2014,2,4,3
1867,"2014-03-18",frozen vegetables,2014,3,18,3
2148,"2014-11-20",domestic eggs,2014,11,20,5
3863,"2014-07-19",whipped sour cream,2014,7,19,7
1010,"2014-08-23",specialty bar,2014,8,23,7
2768,"2014-05-05",baking powder,2014,5,5,2
2218,"2014-11-06",pot plants,2014,11,6,5
3785,"2014-08-16",frozen fish,2014,8,16,7
4823,"2014-01-05",frozen meals,2014,1,5,1
1475,"2014-03-05",kitchen towels,2014,3,5,4
1052,"2014-01-15",grapes,2014,1,15,4
2565,"2014-09-16",jam,2014,9,16,3
4259,"2014-07-23",yogurt,2014,7,23,4
1061,"2014-07-30",hard cheese,2014,7,30,4
4001,"2014-06-11",soda,2014,6,11,4
1620,"2014-07-21",cream cheese ,2014,7,21,2
3458,"2014-06-28",mustard,2014,6,28,7
2178,"2014-10-11",male cosmetics,2014,10,11,7
1995,"2014-06-14",yogurt,2014,6,14,7
2161,"2014-09-24",margarine,2014,9,24,4
3349,"2014-07-12",herbs,2014,7,12,7
3742,"2014-09-26",shopping bags,2014,9,26,6
1244,"2014-11-24",soda,2014,11,24,2
3609,"2014-05-13",rolls buns,2014,5,13,3
2375,"2014-03-31",dog food,2014,3,31,2
2974,"2014-05-24",frozen vegetables,2014,5,24,7
3030,"2014-12-06",whole milk,2014,12,6,7
3737,"2014-12-22",other vegetables,2014,12,22,2
3619,"2014-03-13",dessert,2014,3,13,5
3705,"2014-02-28",herbs,2014,2,28,6
3974,"2014-08-25",bottled water,2014,8,25,2
1798,"2014-10-06",hamburger meat,2014,10,6,2
3272,"2014-04-18",canned beer,2014,4,18,6
4272,"2015-06-06",coffee,2015,6,6,7
1120,"2015-09-26",pastry,2015,9,26,7
2676,"2015-08-15",rolls buns,2015,8,15,7
1697,"2015-05-21",misc. beverages,2015,5,21,5
2507,"2015-08-25",root vegetables,2015,8,25,3
4620,"2015-03-11",sausage,2015,3,11,4
3365,"2015-02-01",canned beer,2015,2,1,1
2978,"2015-06-05",ham,2015,6,5,6
2910,"2015-07-28",turkey,2015,7,28,3
1061,"2015-09-25",whole milk,2015,9,25,6
3276,"2015-04-03",whole milk,2015,4,3,6
1326,"2015-06-19",packaged fruit vegetables,2015,6,19,6
3023,"2015-07-28",rolls buns,2015,7,28,3
2185,"2015-10-11",ham,2015,10,11,1
3552,"2015-06-16",rolls buns,2015,6,16,3
1967,"2015-01-20",other vegetables,2015,1,20,3
4708,"2015-03-20",sausage,2015,3,20,6
2874,"2015-02-15",sausage,2015,2,15,1
4313,"2014-07-17",newspapers,2014,7,17,5
1618,"2014-10-30",napkins,2014,10,30,5
